,name,SNR,Loss,unet_train,gat_use_conv,gat_snr_lower,unet_refinement
0,conv_gat_unet_train_snr--15_epochs100_2,9.21175043106,665.344515686,True,True,-15,True
1,conv_gat_unet_train_snr--10_epochs100_2,10.630485816,567.830806274,True,True,-10,True
2,conv_gat_unet_train_snr--5_epochs100_2,11.6991485882,495.045754089,True,True,-5,True
3,conv_gat_unet_train_snr-0_epochs100_2,12.8000261021,435.712811279,True,True,0,True
4,gat_unet_train_snr--15_epochs100_2,8.49811294794,720.66018219,True,True,-15,True
5,gat_unet_train_snr--10_epochs100_2,10.6231309414,560.149268799,True,True,-10,True
6,gat_unet_train_snr--5_epochs100_2,12.1234056664,475.820975647,True,True,-5,True
7,gat_unet_train_snr-0_epochs100_2,13.4097001457,422.652928772,True,True,0,True
8,gat_unet_snr--15_epochs100_1,,,False,True,-15,True
9,gat_unet_snr--10_epochs100_1,,,False,True,-10,True
10,gat_unet_snr--5_epochs100_1,,,False,True,-5,True
11,gat_unet_snr-0_epochs100_1,,,False,True,0,True
12,conv_gat_unet_snr--15_eochs100_1,,,False,True,-15,True
13,conv_gat_unet_snr--10_eochs100_1,,,False,True,-10,True
14,conv_gat_unet_snr--5_eochs100_1,,,False,True,-5,True
15,conv_gat_unet_snr-0_eochs100_1,,,False,True,0,True
16,gat_unet_train_snr--5,10.1413329315,589.620510559,True,True,-5,True
17,gat_unet_snr--5,7.28000285149,808.034659424,False,True,-5,True
18,gat_unet_snr--10,6.76755917549,856.986898804,False,True,-10,True
19,gat_snr--15,5.75362904072,969.687965088,False,False,-15,False
20,gat_unet_train_snr--10,10.125492301,591.687934265,True,True,-10,True
21,gat_snr--10,6.78060465813,858.777072754,False,False,-10,False
22,gat_unet_snr--15,4.90629359007,1066.7405658,False,True,-15,True
23,conv_gat_unet_train_snr--15,8.43728473186,737.206536255,True,True,-15,True
24,gat_unet_train_snr--15,8.42599198341,742.882745056,True,True,-15,True
25,conv_gat_unet_snr--15,5.66788701534,981.279679565,False,True,-15,True
26,conv_gat_unet_train_snr--10,8.79809941769,759.665319214,True,True,-10,True
27,conv_gat_unet_snr--10,4.52619680405,1121.77231262,False,True,-10,True
28,conv_gat_snr--15,6.78918948174,857.679465942,False,True,-15,False
29,conv_gat_snr--10,7.69156988621,772.152403564,False,True,-10,False
30,gat_snr--5,8.24889271259,727.07934082,False,False,-5,False
31,gat_snr-0,9.41564980984,634.633235168,False,False,0,False
32,conv_gat_unet_train_snr--5,10.7103347921,555.788352966,True,True,-5,True
33,conv_gat_unet_snr--5,7.09122973919,827.646330566,False,True,-5,True
34,conv_gat_unet_train_snr-0,12.6029442215,443.804958801,True,True,0,True
35,conv_gat_unet_snr-0,8.16733823299,730.016849365,False,True,0,True
36,conv_gat_snr--5,8.87720885754,674.968052368,False,True,-5,False
37,conv_gat_snr-0,10.0116765022,595.702660217,False,True,0,False
38,gat_unet_snr-0,7.92696621895,751.586251221,False,True,0,True
39,gat_unet_train_snr-0,11.9199021626,481.441849976,True,True,0,True
