,name,SNR,Loss,gat_heads,gat_layers
0,layers-6_heads-16,2.80756036222,1516.02720947,16,6
1,layers-4_heads-16,5.9785173893,941.821331787,16,4
2,layers-3_heads-16,5.59682546139,990.515162964,16,3
3,layers-2_heads-16,8.26649029732,721.92894104,16,2
4,layers-6_heads-8,2.8075641346,1516.16490479,8,6
5,layers-4_heads-8,5.54350392818,1010.41773071,8,4
6,layers-3_heads-8,7.27973201275,808.083795776,8,3
7,layers-2_heads-8,8.13848143578,732.276260986,8,2
8,layers-6_heads-4,4.08227854848,1191.20597595,4,6
9,layers-4_heads-4,4.10443536639,1176.08060059,4,4
10,layers-6_heads-2,3.54595048547,1256.54976135,2,6
11,layers-3_heads-4,6.26167852402,927.426938477,4,3
12,layers-2_heads-4,8.22125516415,727.547119141,4,2
13,layers-4_heads-2,5.98109553814,958.829638062,2,4
14,layers-3_heads-2,7.17202694893,821.699265747,2,3
15,layers-2_heads-2,7.88376441479,753.444389038,2,2
16,layers-6_heads-1,3.18523017347,1334.05391663,1,6
17,layers-4_heads-1,6.07641181469,934.216578369,1,4
18,layers-3_heads-1,6.65345152855,869.122727661,1,3
19,layers-2_heads-1,7.54721592426,784.239368286,1,2
