,name,SNR,Loss,training,k_nn,gat_heads,gat_layers,graph_size,gat_snr_lower
0,knn-8_graphsize-1024_snr-0-gat_2_4,9.18541997433,648.967793579,3804.68330145,8,4,2,1024,0
1,knn-6_graphsize-1024_snr-0-gat_2_4,9.37611370564,634.441037598,3830.99176669,6,4,2,1024,0
2,knn-4_graphsize-1024_snr-0-gat_2_4,9.64304517269,622.128221741,3824.05499959,4,4,2,1024,0
3,knn-2_graphsize-1024_snr-0-gat_2_4,9.89616200447,601.376800842,3846.441118,2,4,2,1024,0
4,knn-4_graphsize-1024_snr-0,8.36619139194,712.444503174,4292.76414633,4,1,3,1024,0
5,knn-3_graphsize-1024_snr-0,8.64170238018,689.146500244,4313.00723171,3,1,3,1024,0
6,knn-1_graphsize-1024_snr-0,8.80847045898,679.674324951,4229.80436087,1,1,3,1024,0
7,knn-5_graphsize-1024_snr--10,5.88722099543,962.154567871,4284.66799521,5,1,3,1024,-10
8,knn-4_graphsize-1024_snr--10,6.28900857925,906.748933105,4335.10452819,4,1,3,1024,-10
9,knn-3_graphsize-1024_snr--10,6.37756676197,901.733740845,4266.22347403,3,1,3,1024,-10
10,knn-1_graphsize-1024_snr--10,7.09435572147,827.513579102,4292.45427012,1,1,3,1024,-10
11,knn-20_graphsize-1024_snr--10,4.82026969671,1090.54745789,4276.77469611,20,1,3,1024,-10
12,knn-10_graphsize-1024_snr--10,5.53933128119,996.251029053,4128.90591574,10,1,3,1024,-10
13,knn-8_graphsize-1024_snr--10,5.63672312737,985.810775146,4108.54772258,8,1,3,1024,-10
14,knn-6_graphsize-1024_snr--10,5.80910103321,958.318076782,4209.87405467,6,1,3,1024,-10
15,knn-2_graphsize-1024_snr--10,6.95022961617,849.437143555,4073.77092361,2,1,3,1024,-10
16,knn-20_graphsize-2048,7.98220849037,750.587608032,7705.39921737,20,1,3,2048,0
17,knn-20_graphsize-1024,6.29939548969,910.453377075,4247.57726431,20,1,3,1024,0
18,knn-20_graphsize-512,5.93504954815,949.092970581,2704.79475713,20,1,3,512,0
19,knn-10_graphsize-2048,8.3525096941,715.310628662,7584.76173496,10,1,3,2048,0
20,knn-10_graphsize-1024,7.30390318871,804.697695312,4270.34603071,10,1,3,1024,0
21,knn-10_graphsize-512,7.1149227047,836.278278198,2640.05034208,10,1,3,512,0
22,knn-8_graphsize-2048,8.74198640347,683.940480347,7606.98479128,8,1,3,2048,0
23,knn-8_graphsize-1024,7.9873622036,744.067123413,4195.52411509,8,1,3,1024,0
24,knn-8_graphsize-512,7.15758987904,821.439002075,2680.52762556,8,1,3,512,0
25,knn-6_graphsize-2048,8.21977620602,724.541296997,7639.97350478,6,1,3,2048,0
26,knn-6_graphsize-1024,8.24676563263,722.809078979,4196.1229651,6,1,3,1024,0
27,knn-6_graphsize-512,7.47984460831,793.513407593,2712.09742618,6,1,3,512,0
28,knn-2_graphsize-2048,9.46338215828,633.050443726,7507.92732072,2,1,3,2048,0
29,knn-2_graphsize-1024,9.16321391106,652.382749023,4170.75358653,2,1,3,1024,0
30,knn-2_graphsize-512,8.4049468708,712.456533813,2655.71500278,2,1,3,512,0
31,"Erdős–Rényi graph with p = 0.01, 2048 nodes",3.63399107933,1279.23697144,7726.37037873,0,1,3,2048,0
32,"Erdős–Rényi graph with p = 0.01, 512 nodes",4.03882120132,1202.25642151,2664.02672172,0,1,3,512,0
33,"Erdős–Rényi graph with p = 0.01, 1024 nodes",3.64772240043,1267.15638977,4253.11105108,0,1,3,1024,0
